Rank,Division Men,Score  Men,Score Women,Divsion women
1,RX,240,258,RX
2,RX,238,238,RX
3,RX,230,232,RX
4,RX,223,231,RX
5,RX,218,231,RX
6,RX,218,228,RX
7,RX,217,226,RX
8,RX,211,217,RX
9,RX,210,215,RX
10,RX,210,213,RX
11,RX,209,211,RX
12,RX,209,210,RX
13,RX,209,210,RX
14,RX,209,208,RX
15,RX,204,206,RX
16,RX,204,204,RX
17,RX,204,204,RX
18,RX,204,204,RX
19,RX,204,204,RX
20,RX,204,204,RX
21,RX,203,204,RX
22,RX,200,204,RX
23,RX,198,204,RX
24,RX,198,204,RX
25,RX,198,203,RX
26,RX,196,202,RX
27,RX,196,201,RX
28,RX,196,201,RX
29,RX,196,197,RX
30,RX,195,196,RX
31,RX,195,195,RX
32,RX,193,193,RX
33,RX,192,192,RX
34,RX,191,192,RX
35,RX,190,192,RX
36,RX,188,190,RX
37,RX,188,190,RX
38,RX,188,190,RX
39,RX,187,189,RX
40,RX,187,188,RX
41,RX,186,188,RX
42,RX,186,187,RX
43,RX,185,186,RX
44,RX,185,182,RX
45,RX,185,181,RX
46,RX,185,181,RX
47,RX,184,181,RX
48,RX,184,181,RX
49,RX,184,181,RX
50,RX,183,181,RX
51,RX,183,180,RX
52,RX,183,180,RX
53,RX,183,180,RX
54,RX,182,180,RX
55,RX,182,180,RX
56,RX,182,179,RX
57,RX,182,179,RX
58,RX,181,178,RX
59,RX,180,178,RX
60,RX,180,177,RX
61,RX,180,177,RX
62,RX,180,175,RX
63,RX,180,175,RX
64,RX,180,174,RX
65,RX,180,173,RX
66,RX,179,173,RX
67,RX,178,173,RX
68,RX,177,172,RX
69,RX,177,172,RX
70,RX,174,171,RX
71,RX,174,170,RX
72,RX,174,168,RX
73,RX,174,168,RX
74,RX,173,165,RX
75,RX,172,165,RX
76,RX,171,164,RX
77,RX,171,164,RX
78,RX,171,163,RX
79,RX,170,163,RX
80,RX,170,163,RX
81,RX,170,163,RX
82,RX,168,163,RX
83,RX,168,162,RX
84,RX,168,161,RX
85,RX,168,156,RX
86,RX,168,156,RX
87,RX,168,156,RX
88,RX,168,156,RX
89,RX,168,156,RX
90,RX,168,156,RX
91,RX,166,156,RX
92,RX,166,153,RX
93,RX,166,152,RX
94,RX,165,150,RX
95,RX,165,150,RX
96,RX,164,150,RX
97,RX,163,149,RX
98,RX,163,148,RX
99,RX,163,148,RX
100,RX,162,148,RX
101,RX,162,148,RX
102,RX,162,148,RX
103,RX,162,147,RX
104,RX,161,145,RX
105,RX,161,145,RX
106,RX,160,145,RX
107,RX,160,144,RX
108,RX,159,144,RX
109,RX,159,143,RX
110,RX,159,143,RX
111,RX,159,142,RX
112,RX,159,142,RX
113,RX,158,142,RX
114,RX,158,142,RX
115,RX,158,142,RX
116,RX,158,141,RX
117,RX,158,141,RX
118,RX,158,141,RX
119,RX,158,141,RX
120,RX,156,141,RX
121,RX,156,141,RX
122,RX,156,141,RX
123,RX,156,140,RX
124,RX,153,140,RX
125,RX,153,139,RX
126,RX,152,139,RX
127,RX,152,139,RX
128,RX,152,139,RX
129,RX,152,139,RX
130,RX,151,139,RX
131,RX,150,139,RX
132,RX,149,138,RX
133,RX,147,138,RX
134,RX,147,137,RX
135,RX,147,137,RX
136,RX,146,137,RX
137,RX,145,136,RX
138,RX,145,136,RX
139,RX,144,135,RX
140,RX,144,135,RX
141,RX,144,135,RX
142,RX,143,135,RX
143,RX,143,135,RX
144,RX,142,133,RX
145,RX,142,133,RX
146,RX,142,133,RX
147,RX,142,133,RX
148,RX,142,132,RX
149,RX,141,132,RX
150,RX,141,132,RX
151,RX,141,132,RX
152,RX,141,132,RX
153,RX,141,132,RX
154,RX,141,132,RX
155,RX,140,132,RX
156,RX,140,131,RX
157,RX,139,131,RX
158,RX,139,128,RX
159,RX,139,127,RX
160,RX,139,127,RX
161,RX,139,123,RX
162,RX,139,123,RX
163,RX,139,122,RX
164,RX,139,120,RX
165,RX,139,119,RX
166,RX,138,118,RX
167,RX,138,117,RX
168,RX,138,116,RX
169,RX,137,114,RX
170,RX,137,112,RX
171,RX,137,112,RX
172,RX,137,112,RX
173,RX,137,112,RX
174,RX,136,110,RX
175,RX,136,110,RX
176,RX,136,109,RX
177,RX,136,108,RX
178,RX,135,108,RX
179,RX,135,108,RX
180,RX,135,104,RX
181,RX,134,94,RX
182,RX,134,93,RX
183,RX,134,92,RX
184,RX,134,92,RX
185,RX,134,91,RX
186,RX,134,90,RX
187,RX,133,89,RX
188,RX,133,86,RX
189,RX,133,85,RX
190,RX,133,84,RX
191,RX,133,84,RX
192,RX,133,74,RX
193,RX,132,70,RX
194,RX,132,36,RX
195,RX,132,204,Scaled
196,RX,132,196,Scaled
197,RX,132,193,Scaled
198,RX,132,192,Scaled
199,RX,132,183,Scaled
200,RX,130,183,Scaled
201,RX,129,181,Scaled
202,RX,128,181,Scaled
203,RX,128,180,Scaled
204,RX,127,177,Scaled
205,RX,126,175,Scaled
206,RX,126,175,Scaled
207,RX,126,171,Scaled
208,RX,124,170,Scaled
209,RX,122,168,Scaled
210,RX,122,167,Scaled
211,RX,122,165,Scaled
212,RX,120,164,Scaled
213,RX,119,162,Scaled
214,RX,118,160,Scaled
215,RX,117,157,Scaled
216,RX,117,157,Scaled
217,RX,117,156,Scaled
218,RX,116,155,Scaled
219,RX,115,154,Scaled
220,RX,112,152,Scaled
221,RX,111,152,Scaled
222,RX,109,150,Scaled
223,RX,108,149,Scaled
224,RX,108,148,Scaled
225,RX,108,144,Scaled
226,RX,108,143,Scaled
227,RX,108,141,Scaled
228,RX,108,141,Scaled
229,RX,108,140,Scaled
230,RX,105,139,Scaled
231,RX,96,139,Scaled
232,RX,92,138,Scaled
233,RX,88,138,Scaled
234,RX,87,136,Scaled
235,Scaled,182,135,Scaled
236,Scaled,181,135,Scaled
237,Scaled,170,134,Scaled
238,Scaled,168,133,Scaled
239,Scaled,164,132,Scaled
240,Scaled,156,132,Scaled
241,Scaled,154,131,Scaled
242,Scaled,152,129,Scaled
243,Scaled,151,128,Scaled
244,Scaled,146,124,Scaled
245,Scaled,143,124,Scaled
246,Scaled,142,116,Scaled
247,Scaled,141,113,Scaled
248,Scaled,141,108,Scaled
249,Scaled,140,108,Scaled
250,Scaled,135,88,Scaled
251,Scaled,135,86,Scaled
252,Scaled,132,84,Scaled
253,Scaled,132,212,Scaled
254,Scaled,121,168,Scaled
255,Scaled,120,156,Scaled
256,Scaled,114,142,Scaled
257,Scaled,104,127,Scaled
258,Scaled,181,99,Scaled
259,Scaled,165,no score,no score
260,Scaled,149,no score,no score
261,no score,no score,no score,no score
262,no score,no score,no score,no score
263,no score,no score,no score,no score
264,no score,no score,no score,no score
265,no score,no score,no score,no score
266,no score,no score,no score,no score
267,no score,no score,no score,no score
268,no score,no score,no score,no score
269,no score,no score,no score,no score
270,no score,no score,no score,no score
271,no score,no score,no score,no score
272,no score,no score,no score,no score
273,no score,no score,no score,no score
274,no score,no score,no score,no score
275,no score,no score,no score,no score
276,no score,no score,no score,no score
277,no score,no score,no score,no score
278,no score,no score,no score,no score
279,no score,no score,no score,no score
280,no score,no score,no score,no score
281,no score,no score,no score,no score
282,no score,no score,no score,no score
283,no score,no score,no score,no score
284,no score,no score,no score,no score
285,no score,no score,no score,no score
286,no score,no score,no score,no score
287,no score,no score,no score,no score
288,no score,no score,no score,no score
289,no score,no score,no score,no score
290,no score,no score,no score,no score
291,no score,no score,no score,no score
292,no score,no score,no score,no score
293,no score,no score,no score,no score
294,no score,no score,no score,no score
295,no score,no score,no score,no score
296,no score,no score,no score,no score
297,no score,no score,,
298,no score,no score,,
299,no score,no score,,
300,no score,no score,,
301,no score,no score,,
302,no score,no score,,
303,no score,no score,,
304,no score,no score,,
305,no score,no score,,
306,no score,no score,,
307,no score,no score,,
308,no score,no score,,
309,no score,no score,,
310,no score,no score,,
311,no score,no score,,
312,no score,no score,,